name,free_bikes,longitude,latitude
1 Slough Train Station,27,-0.59156182,51.51135
2 Burnham Train Station,14,-0.6452942,51.523823
3 Slough Trading Estate,30,-0.62563661,51.516508
4 Slough Council,28,-0.607722,51.510629
5 Trelawney Avenue,18,-0.554815,51.501937
7 Sutton Lane,4,-0.534806,51.489517
8 Yarmouth Road,11,-0.616663,51.519919
9 Bath Road Shopping Centre,10,-0.635472,51.520432
10 Chalvey High Street,3,-0.60676999,51.506562
11 Britwell,5,-0.63102588,51.531906
12 Windsor Road,18,-0.59673975,51.507274
13 Arbour Park,26,-0.58962592,51.519485
14 Wexham Road,18,-0.57820873,51.518459
15 The Curve,21,-0.59497885,51.510246
16 Langley,22,-0.54318756,51.507257
17 Wexham Hospital,2,-0.5767782,51.532348
6 O2,10,-0.63086763,51.518988
